Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
26/10/2023,0,0.1,0,0.2,0.1,0.7,15.7,20.7,5.9,6.8
27/10/2023,0,0.1,0,0.3,0.1,0.7,15.4,13.3,5,4.9
28/10/2023,0,0,0,0,0.3,0.4,9.5,9.8,2.7,3.4
29/10/2023,0.2,0.1,0.1,0.1,0.4,0.5,16.3,12.5,3.6,5.3
30/10/2023,0.2,0,0.2,0.4,1.1,0.7,26.5,19.2,7,6
31/10/2023,0,0,0,0.1,0.4,0.3,30.5,27.3,6.6,6.8
1/11/2023,0,0,0,0.2,0.1,0.6,21.3,24,6.5,7.2
2/11/2023,0,0,0.1,0.1,0.3,0.6,16.6,19.9,4.2,6.8
3/11/2023,0.1,0,0,0.1,0.3,0.7,12.2,17.4,3.4,5.5
4/11/2023,0,0,0,0.1,0.1,0.4,13.2,10.8,3.4,4
5/11/2023,0,0,0,0,0.1,0.4,14,9.3,3.9,4.1
6/11/2023,0,0,0.2,0.1,0.4,0.5,9.5,9.8,2.2,2.9
7/11/2023,0.3,0.1,0.3,0.5,0.5,0.6,12.3,12,3.4,3.9
8/11/2023,0.1,0.1,0,0.4,0.2,0.8,15.2,16.1,3.5,4.7
9/11/2023,0.1,0,0.1,0.3,0.6,0.7,19.2,11.7,5.8,4.6
10/11/2023,0.1,0,0.2,0,0.6,0.6,18.7,13.9,5.3,6.2
11/11/2023,0.2,0.1,0.1,0.1,0.3,0.7,26,18.4,7.3,7.5
12/11/2023,0,0,0,0,0.1,0.4,41,34.4,11.8,10.8
13/11/2023,0,0,0,0.1,0.1,0.4,23.4,24.9,6.4,7.4
14/11/2023,0,0.1,0,0.1,0.2,0.6,23.3,26.4,6.3,7.5
15/11/2023,0.1,0,0,0.1,0.2,0.6,20.8,,6.1,
16/11/2023,0,0,0,0,0.2,0.4,15.8,,4.4,
17/11/2023,,0,,0.1,,0.4,,15.5,,4.3
18/11/2023,,0.2,,0.1,,0.5,,14.4,,4.9
19/11/2023,,0.1,,0,,0.4,,14.6,,5.5
20/11/2023,,0,,0.2,,0.5,,24.6,,6.5
21/11/2023,0,0.1,0,,0.2,,9.1,15.7,2.8,4.1
22/11/2023,0.1,0,0,0.2,0.4,0.6,18.9,17.5,6.9,4.6
23/11/2023,0,0,0,0.2,0.3,0.6,11.6,18.1,4.3,5.8
24/11/2023,0.1,0,0,0.2,0.2,0.6,9,10.1,1.5,3.3
25/11/2023,0.1,0.1,0,0.1,0.3,0.6,13.7,9.4,3.8,4.2
26/11/2023,0.1,0,0.1,0,0.4,0.3,11.5,9.3,2.7,2.3
27/11/2023,0,0,0,0.1,0.1,0.6,17.3,20,5,7.1
28/11/2023,0,0,0,0,0,0.5,20.1,13.9,5,5.3
29/11/2023,0.1,0,0,0,0.5,0.5,20,11.8,4.7,4.4
30/11/2023,0.1,0,0.3,0.2,1,0.5,14.3,9.9,4.8,4.2
1/12/2023,0.1,0,0.3,0.2,0.5,0.7,15.7,16.1,2.7,5.5
2/12/2023,0,0,0,0,0.3,0.4,14.5,11.8,4.2,3.1
3/12/2023,0,0,0.1,0,0.4,0.4,13,11.2,3.8,5.6
4/12/2023,0,0,0.1,0.1,0.2,0.4,10.4,12.6,2.1,2.6
5/12/2023,0.2,0.1,0.1,0.3,0.5,0.7,20.7,22.3,5.8,7.4
6/12/2023,0.1,0.1,0,0.1,0.1,0.9,30.6,36.3,8.9,10.3
7/12/2023,0.2,0.1,0.1,,0.2,,27.7,33.4,8.9,12
8/12/2023,0.3,0,0.2,0.1,0.5,0.7,31.8,29.2,13.2,9.9
9/12/2023,0.1,0.1,0.1,0,0.6,0.5,35.1,27.2,14.1,11.7
10/12/2023,0.1,0.1,0,0,0.1,0.3,13.8,18.7,4.4,9.3
11/12/2023,0.1,0.1,,0.1,,0.5,24.1,28.7,6.5,9.2
12/12/2023,0.1,0,0,0.1,0.1,0.3,15.2,18.1,5.1,5.5
13/12/2023,0.1,0.1,0,0.1,0.2,0.5,19.8,23.8,5.6,11.8
14/12/2023,0.1,0,0.2,0.1,0.7,0.5,23.9,18.7,8.8,6.8
15/12/2023,0.1,0,0,0,0.2,0.3,23.8,25.3,6.7,7.2
16/12/2023,0.3,0,0.1,0.1,0.5,0.4,25.1,18.4,9,6.4
17/12/2023,0,0,0,0,0,0.2,24.1,23.4,6.7,5.8
18/12/2023,0.1,0.1,0,0.2,0.2,0.7,28.8,32.6,7.4,11.5
19/12/2023,0.1,,0.2,,0.7,,38.5,34.5,18.1,16.8
20/12/2023,0,0.1,0,0.3,0.2,0.6,9.3,5.2,4,4.5
21/12/2023,0.1,0.1,0,0.4,0.3,0.5,18.8,18.3,6,3.6
22/12/2023,0,0,0,0.2,0.2,0.4,21.1,19.8,6.1,5.4
23/12/2023,0.1,0.1,0,0.1,0.3,0.3,10.2,11.6,3,3.9
24/12/2023,0.1,0.1,0,0.2,0.1,0.5,15.7,10.8,3.6,3.6
25/12/2023,0.1,0,0,0.1,0.2,0.3,15.2,11.8,4,4.2
