Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
28/06/2024,0.1,0.1,0.6,2.6,1.5,1.3,10.9,20.1,5,13.8
29/06/2024,0.2,0.1,0.9,2,1.3,1,13.5,23.2,8,22.7
30/06/2024,0.1,0,0,0.1,0.7,0.6,9.8,7.8,4.2,5.9
1/07/2024,0,0,0.4,0.4,1,1,10.4,11.1,3.8,4.3
2/07/2024,0,0.1,0,0.4,0.6,1.1,12.2,11.4,3.2,5.4
3/07/2024,0.1,0.1,0,0.3,0.7,0.9,12.8,11.5,4.7,5
4/07/2024,0,0,0,0.2,0.1,1,20.2,11.4,5.1,4.7
5/07/2024,0,0.1,0,0.3,0.1,1.2,12.7,12.4,3.5,4.1
6/07/2024,0.1,0,0,0.2,0.4,0.7,10.6,11.5,4.1,5.4
7/07/2024,0.1,0,0.2,0.1,1,0.8,8.7,10,3.5,5.7
8/07/2024,0.3,0,0.9,0.8,1.5,0.9,10.2,11.8,4.6,5
9/07/2024,0.2,,1.3,,1.5,,8.7,12.9,4.6,5.9
10/07/2024,0.1,,1.2,,1.6,,9.3,16.3,5.2,8.6
11/07/2024,0.1,0.1,1,2.6,1.7,0.9,12.5,19.7,4.9,13
12/07/2024,0.1,0.1,2,1.9,1.4,0.9,14.8,16.3,8,10.6
13/07/2024,0.1,0,0.1,0.3,1,0.8,10.8,11.8,5,6.1
14/07/2024,0.1,0,0.1,0.2,1,0.7,7.3,11.2,5.6,9.7
15/07/2024,0,0,0.2,0.3,1,0.5,7.1,6.3,2.9,5.5
16/07/2024,0.1,0,0.1,0.1,0.8,0.4,6.6,6.9,2.6,2.1
17/07/2024,0,0,0.3,1.4,0.9,0.9,11.7,13.8,3.1,6.2
18/07/2024,0,0,0.5,1.1,1,0.9,8.4,,3.9,3.3
19/07/2024,0,0,0.4,0.7,1.5,0.9,10.8,9.7,4,6.5
20/07/2024,0,0,0,0,0.3,0.1,10.4,9.6,3.6,1.5
21/07/2024,0,0,0,0.1,0.7,0.6,9.8,11.2,4.3,4.5
22/07/2024,0,0,1.9,1.4,2,1.2,16.2,17.8,8.4,14.4
23/07/2024,0.1,0,0.7,2.5,1.4,1.3,14.1,18.8,5.5,11.5
24/07/2024,0.1,0.1,1.3,3.1,1.5,1.4,14.9,23.2,8.6,17.9
25/07/2024,0.1,0,0.1,1,0.7,0.7,14.9,16.2,7.5,9.5
26/07/2024,0.1,,0.4,,1.2,,10.4,12.8,6.2,4.1
27/07/2024,0.2,0,1.9,1.2,1.8,0.9,14.8,14.5,11,13.5
28/07/2024,0,0,0,0.1,0.5,0.3,5.7,6.1,3.9,3.8
29/07/2024,0,0,0,0.3,0.5,1,15.8,13.3,3.8,3.4
30/07/2024,0.1,0.1,0.1,0.3,0.7,1.2,,14.8,,5.2
31/07/2024,0,0.1,0.1,0.4,0.6,1.3,,16.2,,5.4
1/08/2024,0.1,0.1,0.2,0.3,0.9,1.2,17.3,18,6,5.4
2/08/2024,0,0,0.7,0.5,1.1,1.4,13.3,16.6,3.8,5.7
3/08/2024,0.1,0,0.8,1.1,1.2,1.1,14.9,19.7,8.7,16.6
4/08/2024,0.1,0,0.5,0.7,1.4,1,18,22.9,11.5,18.5
5/08/2024,0.1,0.1,2.4,1.8,2.2,1.2,22.2,28.8,16.3,21.1
6/08/2024,0.1,0.1,1,1.3,1.4,1.1,17,17,8.3,9.4
7/08/2024,0.1,0.1,1.4,1.9,1.7,1.4,14.2,18.4,8.3,10.9
8/08/2024,0.3,0.1,,1.3,,1.1,16.4,18.2,9.7,11.5
9/08/2024,0.2,0.1,1.3,1.7,1.6,1.3,18,30.6,9.6,15.3
10/08/2024,0.1,0,0.5,0.4,1,1.1,14.8,18.4,8.2,10.6
11/08/2024,0.1,0,0.7,0.1,0.9,0.8,14.9,18.7,8.9,11.5
12/08/2024,0.1,0.1,1.7,0.8,1.8,1.2,13.8,13.9,7.8,8.3
13/08/2024,0.1,0.1,0.8,0.5,0.8,1.1,16.6,12.3,4.9,6
14/08/2024,0.1,0,0.9,0.9,1.2,1.4,13.8,10.4,4.6,7.2
15/08/2024,,,,,,,,,,
